n_samples,epsilon,run_idx,data_seed,pms_mse,pms_runtime_s,timestamp
2000,0.2,1,250002001,0.0,0.4930680829565972,2026-03-07 20:15:55
2000,0.2,0,250002000,0.0,0.4572388748638332,2026-03-07 20:15:55
2000,0.2,2,250002002,0.0,0.46127404109574854,2026-03-07 20:15:55
2000,0.2,3,250002003,0.0,0.4663260420784354,2026-03-07 20:15:55
2000,0.2,7,250002007,0.0,0.46378908422775567,2026-03-07 20:15:56
2000,0.2,5,250002005,0.0,0.47516412497498095,2026-03-07 20:15:56
2000,0.2,10,250002010,0.0,0.49715862493030727,2026-03-07 20:15:58
2000,0.2,12,250002012,0.0,0.47694062488153577,2026-03-07 20:15:58
2000,0.2,8,250002008,0.0,0.4873057908844203,2026-03-07 20:15:58
2000,0.2,9,250002009,0.0,0.4892767919227481,2026-03-07 20:15:58
2000,0.2,13,250002013,0.0,0.4771619578823447,2026-03-07 20:15:59
2000,0.2,14,250002014,0.0,0.5027972920797765,2026-03-07 20:15:59
2000,0.2,11,250002011,0.0,0.47544574993662536,2026-03-07 20:15:59
2000,0.2,15,250002015,0.0,0.5052687500137836,2026-03-07 20:15:59
2000,0.2,18,250002018,0.0,0.46046112501062453,2026-03-07 20:16:00
2000,0.2,19,250002019,0.0,0.44393637496978045,2026-03-07 20:16:00
2000,0.2,17,250002017,0.0,0.44467979203909636,2026-03-07 20:16:00
2000,0.2,16,250002016,0.0,0.46081187506206334,2026-03-07 20:16:01
2000,0.5,1,250005001,0.0,0.4567855419591069,2026-03-07 20:16:06
2000,0.5,0,250005000,0.0,0.44767166720703244,2026-03-07 20:16:06
2000,0.5,3,250005003,0.0,0.47692062496207654,2026-03-07 20:16:06
2000,0.5,6,250005006,0.0,0.47301220893859863,2026-03-07 20:16:06
2000,0.5,4,250005004,0.0,0.491146125132218,2026-03-07 20:16:06
2000,0.5,7,250005007,0.0,0.4842405419331044,2026-03-07 20:16:06
2000,0.5,2,250005002,0.0,0.49415308400057256,2026-03-07 20:16:06
2000,0.5,5,250005005,0.0,0.47520629200153053,2026-03-07 20:16:06
2000,0.5,11,250005011,0.0,0.4915487919934094,2026-03-07 20:16:08
2000,0.5,10,250005010,0.0,0.48337266710586846,2026-03-07 20:16:08
2000,0.5,8,250005008,0.0,0.5524748340249062,2026-03-07 20:16:08
2000,0.5,13,250005013,0.0,0.4794887909665704,2026-03-07 20:16:08
2000,0.5,15,250005015,0.0,0.4882372091524303,2026-03-07 20:16:09
2000,0.5,12,250005012,0.0,0.4818547908216715,2026-03-07 20:16:09
2000,0.5,14,250005014,0.0,0.5407720420043916,2026-03-07 20:16:09
2000,0.5,9,250005009,0.0,0.47104624984785914,2026-03-07 20:16:09
2000,0.5,18,250005018,0.0,0.37683699978515506,2026-03-07 20:16:10
2000,0.5,16,250005016,0.0,0.4210395831614733,2026-03-07 20:16:10
2000,0.5,19,250005019,0.0,0.4123718747869134,2026-03-07 20:16:10
2000,0.5,17,250005017,0.0,0.48745383392088115,2026-03-07 20:16:10
2000,1.0,1,250010001,0.0,0.39515341608785093,2026-03-07 20:16:15
2000,1.0,3,250010003,0.0,0.4270856250077486,2026-03-07 20:16:15
2000,1.0,4,250010004,0.0,0.41995570808649063,2026-03-07 20:16:15
2000,1.0,0,250010000,0.0,0.42002220801077783,2026-03-07 20:16:15
2000,1.0,7,250010007,0.0,0.4187789170537144,2026-03-07 20:16:15
2000,1.0,5,250010005,0.0,0.3996119168587029,2026-03-07 20:16:15
2000,1.0,6,250010006,0.0,0.44041375000961125,2026-03-07 20:16:15
2000,1.0,2,250010002,0.0,0.41664125001989305,2026-03-07 20:16:15
2000,1.0,10,250010010,0.0,0.45395770808681846,2026-03-07 20:16:17
2000,1.0,9,250010009,0.0,0.3926258331630379,2026-03-07 20:16:17
2000,1.0,11,250010011,0.0,0.4362072909716517,2026-03-07 20:16:17
2000,1.0,14,250010014,0.0,0.43171829101629555,2026-03-07 20:16:17
2000,1.0,13,250010013,0.0,0.4407132922206074,2026-03-07 20:16:17
2000,1.0,15,250010015,0.0,0.4712863750755787,2026-03-07 20:16:17
2000,1.0,12,250010012,0.0,0.4344687908887863,2026-03-07 20:16:17
2000,1.0,8,250010008,0.0,0.4625438340008259,2026-03-07 20:16:17
2000,1.0,17,250010017,0.0,0.3942247498780489,2026-03-07 20:16:19
2000,1.0,16,250010016,0.0,0.4229917908087373,2026-03-07 20:16:19
2000,1.0,19,250010019,0.0,0.3526354997884482,2026-03-07 20:16:19
2000,1.0,18,250010018,0.0,0.3646110419649631,2026-03-07 20:16:19
200,0.1,0,70001000,0.0,0.024810999864712358,2026-03-08 01:46:55
200,0.1,1,70001001,0.0,0.015095500042662024,2026-03-08 01:46:55
200,0.1,3,70001003,0.0,0.024933417094871402,2026-03-08 01:46:55
200,0.1,5,70001005,0.0,0.022966000018641353,2026-03-08 01:46:55
200,0.1,4,70001004,0.0,0.02561412495560944,2026-03-08 01:46:55
200,0.1,6,70001006,0.0,0.012600500136613846,2026-03-08 01:46:55
200,0.1,7,70001007,0.0,0.014766791136935353,2026-03-08 01:46:55
200,0.1,8,70001008,0.0,0.015037749893963337,2026-03-08 01:46:55
200,0.1,9,70001009,0.0,0.01563504198566079,2026-03-08 01:46:55
200,0.1,11,70001011,0.0,0.013685458106920123,2026-03-08 01:46:55
200,0.1,10,70001010,0.0,0.008427624823525548,2026-03-08 01:46:55
200,0.1,12,70001012,0.0,0.019343541003763676,2026-03-08 01:46:55
200,0.1,2,70001002,0.0,0.03456500009633601,2026-03-08 01:46:55
200,0.1,13,70001013,0.0,0.012689708964899182,2026-03-08 01:46:55
200,0.1,18,70001018,0.0,0.008741999976336956,2026-03-08 01:46:55
200,0.1,15,70001015,0.0,0.014933916972950101,2026-03-08 01:46:55
200,0.1,14,70001014,0.0,0.015380125027149916,2026-03-08 01:46:55
200,0.1,17,70001017,0.0,0.02167237503454089,2026-03-08 01:46:55
200,0.1,16,70001016,0.0,0.016260500065982342,2026-03-08 01:46:55
200,0.1,19,70001019,0.0,0.012060333043336868,2026-03-08 01:46:55
200,0.2,1,70002001,0.0,0.014523959020152688,2026-03-08 01:46:58
200,0.2,0,70002000,0.0,0.023514207918196917,2026-03-08 01:46:58
200,0.2,3,70002003,0.0,0.013069584034383297,2026-03-08 01:46:58
200,0.2,2,70002002,0.0,0.020246666856110096,2026-03-08 01:46:58
200,0.2,6,70002006,0.0,0.00830954103730619,2026-03-08 01:46:58
200,0.2,4,70002004,0.0,0.01491029211319983,2026-03-08 01:46:58
200,0.2,7,70002007,0.0,0.010853500105440617,2026-03-08 01:46:58
200,0.2,5,70002005,0.0,0.030698291957378387,2026-03-08 01:46:58
200,0.2,11,70002011,0.0,0.019360083155333996,2026-03-08 01:46:58
200,0.2,10,70002010,0.0,0.012957790866494179,2026-03-08 01:46:58
200,0.2,9,70002009,0.0,0.01879441598430276,2026-03-08 01:46:58
