n_samples,epsilon,run_idx,seed,pms_mse,pms_runtime_s,timestamp
1200,0.1,8,3200018,0.0,0.10463683283887804,2026-03-07 20:08:34
1200,0.1,9,3200019,0.0,0.10536404117010534,2026-03-07 20:08:34
1200,0.1,10,3200020,0.0,0.10360662499442697,2026-03-07 20:08:34
1200,0.1,11,3200021,0.0,0.10503704217262566,2026-03-07 20:08:34
1200,0.1,12,3200022,0.0,0.10385099984705448,2026-03-07 20:08:34
1200,0.1,13,3200023,0.0,0.10381329199299216,2026-03-07 20:08:34
1200,0.1,14,3200024,0.0,0.10335945803672075,2026-03-07 20:08:35
1200,0.1,15,3200025,0.0,0.10328970896080136,2026-03-07 20:08:35
1200,0.1,16,3200026,0.0,0.10376908304169774,2026-03-07 20:08:35
1200,0.1,17,3200027,0.0,0.10301441699266434,2026-03-07 20:08:35
1200,0.1,18,3200028,0.0,0.10374312498606741,2026-03-07 20:08:35
1200,0.1,19,3200029,0.0,0.10276679089292884,2026-03-07 20:08:35
1200,0.2,0,3200020,0.0,0.10444479202851653,2026-03-07 20:08:44
1200,0.2,1,3200021,0.0,0.10343216708861291,2026-03-07 20:08:44
1200,0.2,2,3200022,0.0,0.10335345799103379,2026-03-07 20:08:44
1200,0.2,3,3200023,0.0,0.10342716705054045,2026-03-07 20:08:45
1200,0.2,4,3200024,0.0,0.102989082923159,2026-03-07 20:08:45
1200,0.2,5,3200025,0.0,0.10305304196663201,2026-03-07 20:08:45
1200,0.2,6,3200026,0.0,0.10320049989968538,2026-03-07 20:08:45
1200,0.2,7,3200027,0.0,0.10417570895515382,2026-03-07 20:08:45
1200,0.2,8,3200028,0.0,0.10341816698201,2026-03-07 20:08:45
1200,0.2,9,3200029,0.0,0.10402608383446932,2026-03-07 20:08:45
1200,0.2,10,3200030,0.0,0.1032861249987036,2026-03-07 20:08:46
1200,0.2,11,3200031,0.0,0.10403970815241337,2026-03-07 20:08:46
1200,0.2,12,3200032,0.0,0.1063337498344481,2026-03-07 20:08:46
1200,0.2,13,3200033,0.0,0.1054830839857459,2026-03-07 20:08:46
1200,0.2,14,3200034,0.0,0.10334774991497397,2026-03-07 20:08:46
1200,0.2,15,3200035,0.0,0.10617424990050495,2026-03-07 20:08:46
1200,0.2,16,3200036,0.0,0.1052920410875231,2026-03-07 20:08:46
1200,0.2,17,3200037,0.0,0.1036814171820879,2026-03-07 20:08:46
1200,0.2,18,3200038,0.0,0.10424266592599452,2026-03-07 20:08:47
1200,0.2,19,3200039,0.0,0.10643612500280142,2026-03-07 20:08:47
1200,0.5,0,3200050,0.0,0.10563033306971192,2026-03-07 20:08:54
1200,0.5,1,3200051,0.0,0.10649916692636907,2026-03-07 20:08:54
1200,0.5,2,3200052,0.0,0.10351237491704524,2026-03-07 20:08:55
1200,0.5,3,3200053,0.0,0.10268924990668893,2026-03-07 20:08:55
1200,0.5,4,3200054,0.0,0.1027127499692142,2026-03-07 20:08:55
1200,0.5,5,3200055,0.0,0.1031018749345094,2026-03-07 20:08:55
1200,0.5,6,3200056,0.0,0.10302145802415907,2026-03-07 20:08:55
1200,0.5,7,3200057,0.0,0.10444987495429814,2026-03-07 20:08:55
1200,0.5,8,3200058,0.0,0.10562191600911319,2026-03-07 20:08:55
1200,0.5,9,3200059,0.0,0.10624162503518164,2026-03-07 20:08:55
1200,0.5,10,3200060,0.0,0.1050582081079483,2026-03-07 20:08:56
1200,0.5,11,3200061,0.0,0.10639970796182752,2026-03-07 20:08:56
1200,0.5,12,3200062,0.0,0.10643874993547797,2026-03-07 20:08:56
1200,0.5,13,3200063,0.0,0.1057194999884814,2026-03-07 20:08:56
1200,0.5,14,3200064,0.0,0.10506716603413224,2026-03-07 20:08:56
1200,0.5,15,3200065,0.0,0.1031266669742763,2026-03-07 20:08:56
1200,0.5,16,3200066,0.0,0.10317549994215369,2026-03-07 20:08:56
1200,0.5,17,3200067,0.0,0.10338808293454349,2026-03-07 20:08:57
1200,0.5,18,3200068,0.0,0.10368599998764694,2026-03-07 20:08:57
1200,0.5,19,3200069,0.0,0.10366495791822672,2026-03-07 20:08:57
1200,1.0,0,3200100,0.0,0.10444354196079075,2026-03-07 20:09:03
1200,1.0,1,3200101,0.0,0.10315729188732803,2026-03-07 20:09:03
1200,1.0,2,3200102,0.0,0.1032969590742141,2026-03-07 20:09:04
1200,1.0,3,3200103,0.0,0.10362174990586936,2026-03-07 20:09:04
1200,1.0,4,3200104,0.0,0.10332912509329617,2026-03-07 20:09:04
1200,1.0,5,3200105,0.0,0.10325391707010567,2026-03-07 20:09:04
1200,1.0,6,3200106,0.0,0.10291183297522366,2026-03-07 20:09:04
1200,1.0,7,3200107,0.0,0.1036725000012666,2026-03-07 20:09:04
